"","ensgene","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","description"
"1","ENSG00000269586",19.4583230366929,0.282622166293065,0.736297314536183,7.81826677634665e-53,2.70363483392843e-48,"CT45A10","cancer/testis antigen family 45 member A10 [Source:HGNC Symbol;Acc:HGNC:51263]"
"2","ENSG00000112425",250.676271239401,-2.71012547026439,0.185299471720753,6.84437921294083e-49,1.18342738781353e-44,"EPM2A","EPM2A, laforin glucan phosphatase [Source:HGNC Symbol;Acc:HGNC:3413]"
"3","ENSG00000163681",3504.67652329075,-2.65965735266617,0.187525944505521,3.3754667920066e-46,3.89090057114601e-42,"SLMAP","sarcolemma associated protein [Source:HGNC Symbol;Acc:HGNC:16643]"
"4","ENSG00000115556",199.893892595278,-2.94611865901874,0.210852168761422,9.35857663967811e-45,8.09072346941772e-41,"PLCD4","phospholipase C delta 4 [Source:HGNC Symbol;Acc:HGNC:9062]"
"5","ENSG00000163380",19.2689867270848,-3.90681861985217,0.285772405791407,7.24849721820546e-43,5.01320564605526e-39,"LMOD3","leiomodin 3 [Source:HGNC Symbol;Acc:HGNC:6649]"
"6","ENSG00000183963",6137.02803336413,-3.29583057021841,0.248542755455942,1.99307330842663e-40,1.14870780131169e-36,"SMTN","smoothelin [Source:HGNC Symbol;Acc:HGNC:11126]"
"7","ENSG00000159176",17846.3374903355,-3.37305845008903,0.257464644955973,1.82183480046129e-39,9.00012417639313e-36,"CSRP1","cysteine and glycine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:2469]"
"8","ENSG00000143772",2021.58407739564,-2.15942243932456,0.166531450892629,6.15592181805899e-39,2.66097415487872e-35,"ITPKB","inositol-trisphosphate 3-kinase B [Source:HGNC Symbol;Acc:HGNC:6179]"
"9","ENSG00000116473",3524.22585781677,-1.55308831883621,0.120090128366396,9.81677909731329e-39,3.77193375515768e-35,"RAP1A","RAP1A, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9855]"
"10","ENSG00000148339",1151.92673450022,-2.7130879171835,0.210016275824228,1.37182543385622e-38,4.74390953281819e-35,"SLC25A25","solute carrier family 25 member 25 [Source:HGNC Symbol;Acc:HGNC:20663]"
"11","ENSG00000112658",3518.05504947073,-1.7189189866067,0.133290730656508,1.69862944923884e-38,5.34002772582984e-35,"SRF","serum response factor [Source:HGNC Symbol;Acc:HGNC:11291]"
"12","ENSG00000058272",3412.11632956813,-1.97773610464268,0.154885813983381,7.66951439788955e-38,2.21016231161182e-34,"PPP1R12A","protein phosphatase 1 regulatory subunit 12A [Source:HGNC Symbol;Acc:HGNC:7618]"
"13","ENSG00000239474",54.1847789321287,-4.83552162001068,0.378615592505452,2.83529807939528e-37,7.54211099104372e-34,"KLHL41","kelch like family member 41 [Source:HGNC Symbol;Acc:HGNC:16905]"
"14","ENSG00000125868",20092.2035023185,-1.99941062826882,0.158146496940315,3.96099230336752e-37,9.78393391733945e-34,"DSTN","destrin, actin depolymerizing factor [Source:HGNC Symbol;Acc:HGNC:15750]"
"15","ENSG00000101605",299.394992745835,-4.55341676503836,0.358964974781741,7.50338924445971e-37,1.72983135641774e-33,"MYOM1","myomesin 1 [Source:HGNC Symbol;Acc:HGNC:7613]"
"16","ENSG00000077157",4666.40656149596,-3.94265255938883,0.314710101763652,3.86525095102583e-36,8.35401519608902e-33,"PPP1R12B","protein phosphatase 1 regulatory subunit 12B [Source:HGNC Symbol;Acc:HGNC:7619]"
"17","ENSG00000121671",1287.33005415006,-1.6937603421635,0.136517619697251,6.28652776598275e-36,1.27879068632617e-32,"CRY2","cryptochrome circadian clock 2 [Source:HGNC Symbol;Acc:HGNC:2385]"
"18","ENSG00000163815",267.562161274587,-4.41626730776188,0.356144947219678,2.55515722842827e-35,4.90888289534877e-32,"CLEC3B","C-type lectin domain family 3 member B [Source:HGNC Symbol;Acc:HGNC:11891]"
